"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2000","-9.0625","43.2436981201172","-9999","10.902","8.846","0","3.08731668623267","0.711395296166739","8.1168156",
"1/2/2000","-9.0625","43.2436981201172","-9999","10.608","7.82299999999998","0","2.63151949206126","0.703527943780621","8.06388768",
"1/3/2000","-9.0625","43.2436981201172","-9999","12.652","10.466","1.0437009912","4.42902549529814","0.791603537263369","4.40308206",
"1/4/2000","-9.0625","43.2436981201172","-9999","12.356","11.524","7.000353","8.95657564267981","0.896894486830657","0.9027",
"1/5/2000","-9.0625","43.2436981201172","-9999","11.942","10.419","1.871109684","13.8055356222559","0.831850247493987","2.25601866",
"1/6/2000","-9.0625","43.2436981201172","-9999","12.779","10.12","8.201983824","8.06939571059046","0.823983005231588","1.01120562",
"1/7/2000","-9.0625","43.2436981201172","-9999","13.15","11.097","0.0995635944","6.95942362870256","0.835202520429634","8.01090216",
"1/8/2000","-9.0625","43.2436981201172","-9999","12.809","11.057","7.649224704","7.80879507514221","0.865102412859638","2.4690924",
"1/9/2000","-9.0625","43.2436981201172","-9999","11.062","10.091","0.0720977472","8.63963940546031","0.698336158717634","8.347216752",
"1/10/2000","-9.0625","43.2436981201172","-9999","10.806","8.029","0.099563652","7.43247476986124","0.672548719253033","8.577567",
"1/11/2000","-9.0625","43.2436981201172","-9999","9.39699999999999","6.868","0","6.24920775034083","0.584869972920235","9.06345468",
"1/12/2000","-9.0625","43.2436981201172","-9999","11.082","7.62299999999999","0.2437595208","6.78615992577246","0.73193317090033","2.99429874",
"1/13/2000","-9.0625","43.2436981201172","-9999","10.546","8.48500000000001","25.6118759784","12.6325168767392","0.796751538479752","1.39995036",
"1/14/2000","-9.0625","43.2436981201172","-9999","9.60899999999998","8.66000000000003","8.785630872","13.1046400148228","0.743386409835127","6.82323228",
"1/15/2000","-9.0625","43.2436981201172","-9999","11.328","8.01900000000001","0.0102996792","8.41453723727139","0.650833657235607","8.80216542",
"1/16/2000","-9.0625","43.2436981201172","-9999","12.504","8.48399999999998","0","10.2180457096095","0.764941739623745","8.940375",
"1/17/2000","-9.0625","43.2436981201172","-9999","11.918","7.37","0","7.9836865259809","0.732003057554855","9.297167688",
"1/18/2000","-9.0625","43.2436981201172","-9999","12.477","7.74099999999999","0","8.91724979422519","0.715627610464181","9.307297512",
"1/19/2000","-9.0625","43.2436981201172","-9999","12.678","8.86200000000002","0","12.1244583022079","0.703830813342916","9.60868368",
"1/20/2000","-9.0625","43.2436981201172","-9999","11.816","8.815","0","9.97805227177314","0.716510534789934","9.725114232",
"1/21/2000","-9.0625","43.2436981201172","-9999","10.275","7.154","0.065231316","7.64692466129209","0.755630669535874","9.7288884",
